"Slug","Title","Image","Image:alt","Food Category","short discription(should not be more than 1 sentence)"
"hot-apple-cider-tea","$5 Hot Apple Cider Tea","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Hot Apple Cider Tea","Hot Drinks","Warming apple-flavored tea, perfect for cooler days."
"iced-coffee","$7 Iced Coffee","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Iced Coffee","Cold Drinks","Chilled coffee with milk and ice cream."
"iced-chocolate","$7 Iced Chocolate","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Iced Chocolate","Cold Drinks","Creamy chocolate drink blended with ice cream."
"milkshake","$7 Milkshake","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Milkshake","Cold Drinks","Thick and creamy blend of milk and ice cream, available in vanilla, chocolate, strawberry, or caramel."
"smoothie","$8 Smoothie","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Smoothie","Cold Drinks","Fresh fruit blended with yogurt or juice, available in mango, berry, or tropical."
"soft-drink","$4 Soft Drink","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Soft Drink","Cold Drinks","Coca-Cola, Fanta, Sprite, or lemonade."
"juice","$5 Juice","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Juice","Cold Drinks","Orange, apple, pineapple, or cranberry."
"mineral-water","$4 Mineral Water","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Mineral Water","Cold Drinks","Still or sparkling mineral water."
"stella","Stella","https://framerusercontent.com/images/MvdZo8OJxB8fgM5q84lsV73b1tM.jpg","Stella","Beers & Ciders","Bottle $13"
"corona","Corona","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Corona","Beers & Ciders","Bottle $13"
"peroni","Peroni","https://framerusercontent.com/images/4pEO6M3JUqnGzlU3hD0Pxu2E.jpg","Peroni","Beers & Ciders","Bottle $13"
"asahi-beer","Asahi Beer","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Asahi Beer","Beers & Ciders","Bottle $13"
"crown-lager","Crown Lager","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Crown Lager","Beers & Ciders","Bottle $13"
"wild-berries-cider","Wild Berries Cider","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Wild Berries Cider","Beers & Ciders","Bottle $14"
"strawberry-lime","Strawberry & Lime","https://framerusercontent.com/images/YrcdLbxRq42CyIQleYz1SWOqt0.jpg","Strawberry & Lime","Beers & Ciders","Bottle $14"
